District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
NMI      ,2.0,2,0,0,0,1.0,1.0,2011
     10TH,79095.0,61441,406,48,17199,2749.0,76346.0,2011
CO       ,30409.0,25225,139,2,5043,1162.0,29247.0,2011
KS       ,10073.0,6882,63,25,3103,298.0,9775.0,2011
NM       ,5674.0,5149,51,1,473,203.0,5471.0,2011
"OK, N    ",3796.0,3371,10,3,412,141.0,3655.0,2011
"OK, E    ",2008.0,1792,5,2,208,49.0,1959.0,2011
"OK, W    ",7315.0,5678,32,11,1594,216.0,7099.0,2011
UT       ,18415.0,12185,90,3,6137,597.0,17818.0,2011
WY       ,1405.0,1159,16,1,229,83.0,1322.0,2011
     11TH,199061.0,119137,1574,83,78260,6899.0,192162.0,2011
"AL, N    ",17135.0,8057,84,10,8983,376.0,16759.0,2011
"AL, M    ",7839.0,2095,41,4,5699,166.0,7673.0,2011
"AL, S    ",5420.0,1740,39,2,3639,99.0,5321.0,2011
"FL, N    ",4413.0,3798,52,2,561,317.0,4096.0,2011
"FL, M    ",53555.0,39924,584,17,13029,2389.0,51166.0,2011
"FL, S    ",36847.0,27214,344,5,9281,1310.0,35537.0,2011
"GA, N    ",52649.0,29619,306,9,22714,1574.0,51075.0,2011
"GA, M    ",11607.0,4445,42,29,7091,407.0,11200.0,2011
"GA, S    ",9596.0,2245,82,5,7263,261.0,9335.0,2011
CHAPTER 9,,,CHAPTER 15,,,,,2011
RI       ,1.0,013,MA       ,1,011,,,2011
"NY, E    ",1.0,022,"NY, E    ",1,022,,,2011
"PA, M    ",1.0,033,"NY, S    ",15,023,,,2011
SC       ,2.0,045,DE       ,19,030,,,2011
"AR, W    ",1.0,081,"TX, N    ",4,055,,,2011
NE       ,4.0,087,"TX, S    ",1,057,,,2011
"CA, N    ",1.0,09C,"TX, W    ",1,058,,,2011
ID       ,1.0,09H,"KY, E    ",1,060,,,2011
"AL, N    ",1.0,11A,AZ       ,1,09B,,,2011
,,,"CA, N    ",3,09C,,,2011
,,,"CA, C    ",3,09E,,,2011
,,,"WA, W    ",1,09M,,,2011
,,,"OK, E    ",1,10E,,,2011
,,,"FL, M    ",1,11E,,,2011
,,,"FL, S    ",3,11F,,,2011
,,,"GA, N    ",1,11G,,,2011
,,,"GA, S    ",1,11I,,,2011
"NY, S    ",10622.0,8317,751,1,1516,1108.0,9514.0,2012
"NY, W    ",6192.0,4455,52,3,1682,245.0,5947.0,2012
VT       ,1030.0,819,2,4,204,54.0,976.0,2012
    3RD  ,64632.0,46328,1245,20,16981,2945.0,61687.0,2012
DE       ,3757.0,2196,640,2,861,834.0,2923.0,2012
NJ       ,31534.0,24341,307,1,6885,1043.0,30491.0,2012
"PA, E    ",12275.0,7895,129,2,4249,447.0,11828.0,2012
"PA, M    ",7547.0,5223,39,5,2280,237.0,7310.0,2012
"PA, W    ",9489.0,6656,123,10,2700,374.0,9115.0,2012
VI       ,30.0,17,7,0,6,10.0,20.0,2012
     4TH ,86841.0,54246,700,27,31867,2769.0,84072.0,2012
MD       ,23814.0,19027,175,3,4609,614.0,23200.0,2012
"NC, E    ",9271.0,2857,171,9,6234,437.0,8834.0,2012
"NC, M    ",5697.0,2373,20,2,3302,262.0,5435.0,2012
"NC, W    ",6585.0,4149,65,6,2365,268.0,6317.0,2012
SC       ,8000.0,3472,66,5,4457,309.0,7691.0,2012
"VA, E    ",22565.0,14185,145,0,8234,581.0,21984.0,2012
"VA, W    ",6897.0,4707,26,1,2163,155.0,6742.0,2012
"WV, N    ",1737.0,1483,14,0,240,70.0,1667.0,2012
"WV, S    ",2275.0,1993,18,1,263,73.0,2202.0,2012
     5TH ,77254.0,33222,834,38,43156,3622.0,73632.0,2012
"LA, E    ",3907.0,2052,37,1,1816,205.0,3702.0,2012
"LA, M    ",1898.0,1057,15,0,826,59.0,1839.0,2012
"LA, W    ",10502.0,2632,41,4,7825,222.0,10280.0,2012
"MS, N    ",5657.0,2537,29,6,3085,131.0,5526.0,2012
"MS, S    ",6909.0,3897,37,1,2974,192.0,6717.0,2012
"TX, N    ",17864.0,7550,234,15,10065,976.0,16888.0,2012
"TX, E    ",6423.0,3060,87,2,3274,454.0,5969.0,2012
"TX, S    ",12999.0,4834,198,3,7961,689.0,12310.0,2012
"TX, W    ",11095.0,5603,156,6,5330,694.0,10401.0,2012
    6TH  ,164684.0,114588,641,47,49401,3518.0,161166.0,2012
"KY, E    ",9602.0,7020,31,7,2544,175.0,9427.0,2012
"KY, W    ",10300.0,7461,46,5,2788,228.0,10072.0,2012
"MI, E    ",38034.0,31145,213,8,6664,881.0,37153.0,2012
"MI, W    ",11946.0,10146,42,5,1753,409.0,11537.0,2012
"OH, N    ",26178.0,21428,53,5,4689,576.0,25602.0,2012
"OH, S    ",24398.0,17125,39,1,7233,493.0,23905.0,2012
"TN, E    ",14260.0,8117,46,13,6084,259.0,14001.0,2012
"TN, M    ",12223.0,7287,109,2,4825,308.0,11915.0,2012
"TN, W    ",17743.0,4859,62,1,12821,189.0,17554.0,2012
     7TH ,130748.0,94249,605,46,35847,3287.0,127461.0,2012
"IL, N    ",56954.0,39699,339,0,16916,1644.0,55310.0,2012
"IL, C    ",7462.0,5994,41,1,1426,171.0,7291.0,2012
"IL, S    ",4696.0,3003,13,2,1678,90.0,4606.0,2012
"IN, N    ",14430.0,10942,46,6,3436,227.0,14203.0,2012
"IN, S    ",21751.0,15288,69,3,6390,462.0,21289.0,2012
"WI, E    ",18442.0,13416,48,13,4965,410.0,18032.0,2012
"WI, W    ",7013.0,5907,49,21,1036,283.0,6730.0,2012
     8TH ,72884.0,53218,332,43,19281,2185.0,70699.0,2012
"AR, E    ",7870.0,3646,28,2,4193,161.0,7709.0,2012
"AR, W    ",5044.0,3081,17,8,1937,202.0,4842.0,2012
"IA, N    ",2403.0,2222,6,8,166,108.0,2295.0,2012
"IA, S    ",4008.0,3581,13,1,412,147.0,3861.0,2012
MN       ,16998.0,14074,46,13,2862,596.0,16402.0,2012
"MO, E    ",15914.0,11311,139,1,4463,390.0,15524.0,2012
"MO, W    ",12303.0,8969,56,2,3276,327.0,11976.0,2012
NE       ,5815.0,4063,24,5,1720,166.0,5649.0,2012
ND       ,978.0,866,2,1,109,33.0,945.0,2012
SD       ,1551.0,1405,1,2,143,55.0,1496.0,2012
     9TH ,288797.0,223522,2616,101,62545,9664.0,279133.0,2012
AK       ,753.0,616,5,1,131,51.0,702.0,2012
AZ       ,28514.0,24304,442,1,3765,1134.0,27380.0,2012
"CA, N    ",27637.0,16536,285,20,10795,1095.0,26542.0,2012
"CA, E    ",36760.0,29271,192,38,7253,1009.0,35751.0,2012
"CA, C    ",105515.0,81128,904,7,23473,3509.0,102006.0,2012
"CA, S    ",17410.0,13758,102,1,3549,514.0,16896.0,2012
HI       ,2625.0,1959,13,2,651,79.0,2546.0,2012
ID       ,6322.0,5612,33,12,665,230.0,6092.0,2012
MT       ,2109.0,1749,23,1,336,103.0,2006.0,2012
NV       ,17823.0,14197,345,1,3279,624.0,17199.0,2012
OR       ,15281.0,11937,56,11,3277,424.0,14857.0,2012
"WA, E    ",5575.0,4453,24,5,1093,144.0,5431.0,2012
"WA, W    ",22293.0,17855,188,1,4249,740.0,21553.0,2012
GUAM     ,171.0,140,2,0,29,6.0,165.0,2012
NMI      ,9.0,7,2,0,0,2.0,7.0,2012
     10TH,70243.0,54419,355,27,15441,2109.0,68134.0,2012
CO       ,26809.0,22111,147,4,4547,906.0,25903.0,2012
KS       ,9097.0,5848,59,6,3184,249.0,8848.0,2012
NM       ,4810.0,4355,48,2,405,182.0,4628.0,2012
"OK, N    ",3534.0,3131,6,1,396,109.0,3425.0,2012
"OK, E    ",1862.0,1673,2,3,183,46.0,1816.0,2012
"OK, W    ",6574.0,5196,19,9,1350,156.0,6418.0,2012
UT       ,16266.0,11006,53,0,5207,378.0,15888.0,2012
WY       ,1291.0,1099,21,2,169,83.0,1208.0,2012
     11TH,174867.0,101713,1308,51,71789,5733.0,169134.0,2012
"AL, N    ",15644.0,7327,60,4,8252,302.0,15342.0,2012
"AL, M    ",7928.0,1907,19,1,6001,165.0,7763.0,2012
"AL, S    ",4635.0,1425,30,0,3180,82.0,4553.0,2012
"FL, N    ",3784.0,3182,48,1,553,255.0,3529.0,2012
"FL, M    ",46004.0,33593,491,14,11903,1970.0,44034.0,2012
"FL, S    ",31989.0,22574,305,1,9109,1060.0,30929.0,2012
"GA, N    ",45343.0,25685,237,10,19411,1357.0,43986.0,2012
"GA, M    ",10685.0,3943,60,14,6668,332.0,10353.0,2012
"GA, S    ",8855.0,2077,58,6,6712,210.0,8645.0,2012
Chapter 9,,,Chapter 15,,,,,2012
"NY, E    ",1.0,022,MA       ,1,011,,,2012
"TX, S    ",1.0,057,"NY, S    ",37,023,,,2012
"AR, E    ",1.0,080,VT       ,1,025,,,2012
"AR, W    ",1.0,081,DE       ,58,030,,,2012
MN       ,3.0,084,"VA, E    ",1,046,,,2012
NE       ,3.0,087,"LA, E    ",1,050,,,2012
"CA, N    ",1.0,09C,"TX, S    ",2,057,,,2012
"CA, E    ",3.0,09D,"MI, E    ",4,062,,,2012
"CA, C    ",1.0,09E,"OH, N    ",3,064,,,2012
"OK, E    ",1.0,10E,"IN, S    ",1,074,,,2012
"FL, M    ",2.0,11E,"IA, N    ",1,082,,,2012
"GA, S    ",2.0,11I,"IA, S    ",1,083,,,2012
,,,AZ       ,2,09B,,,2012
,,,"CA, E    ",3,09D,,,2012
,,,"CA, C    ",2,09E,,,2012
,,,NV       ,1,09J,,,2012
,,,"AL, N    ",1,11A,,,2012
,,,"FL, M    ",1,11E,,,2012
"NY, S    ",9284.0,7374,424,1,1465,740.0,8544.0,2013
"NY, W    ",5588.0,3948,48,2,1590,210.0,5378.0,2013
VT       ,923.0,739,4,1,179,45.0,878.0,2013
    3RD  ,59944.0,41296,1411,14,17191,2871.0,57073.0,2013
DE       ,3424.0,1865,807,0,721,974.0,2450.0,2013
NJ       ,29370.0,22439,323,2,6606,934.0,28436.0,2013
"PA, E    ",11879.0,6945,123,5,4805,432.0,11447.0,2013
"PA, M    ",6763.0,4534,50,1,2178,219.0,6544.0,2013
"PA, W    ",8484.0,5493,108,6,2877,304.0,8180.0,2013
VI       ,24.0,20,0,0,4,8.0,16.0,2013
     4TH ,79537.0,47903,646,20,30968,2256.0,77281.0,2013
MD       ,23118.0,17304,176,3,5635,555.0,22563.0,2013
"NC, E    ",8183.0,2511,130,1,5541,320.0,7863.0,2013
"NC, M    ",4945.0,2113,31,3,2798,204.0,4741.0,2013
"NC, W    ",5675.0,3305,53,4,2313,222.0,5453.0,2013
SC       ,7702.0,3149,60,3,4490,234.0,7468.0,2013
"VA, E    ",19852.0,12131,136,1,7584,477.0,19375.0,2013
"VA, W    ",6399.0,4300,22,3,2074,119.0,6280.0,2013
"WV, N    ",1598.0,1346,10,0,242,58.0,1540.0,2013
"WV, S    ",2065.0,1744,28,2,291,67.0,1998.0,2013
     5TH ,69100.0,29175,759,20,39145,3036.0,66064.0,2013
"LA, E    ",3745.0,1934,35,0,1776,200.0,3545.0,2013
"LA, M    ",1757.0,960,10,0,787,51.0,1706.0,2013
"LA, W    ",10388.0,2334,40,5,8009,120.0,10268.0,2013
"MS, N    ",5516.0,2307,31,2,3176,123.0,5393.0,2013
"MS, S    ",7357.0,3943,27,2,3385,178.0,7179.0,2013
"TX, N    ",14585.0,6152,233,5,8194,815.0,13770.0,2013
"TX, E    ",5596.0,2632,67,2,2895,344.0,5252.0,2013
"TX, S    ",10728.0,4164,195,3,6366,622.0,10106.0,2013
"TX, W    ",9428.0,4749,121,1,4557,583.0,8845.0,2013
    6TH  ,150779.0,103304,620,51,46801,2914.0,147865.0,2013
"KY, E    ",9213.0,6701,42,4,2466,187.0,9026.0,2013
"KY, W    ",9265.0,6679,35,4,2545,168.0,9097.0,2013
"MI, E    ",31768.0,25965,176,15,5611,657.0,31111.0,2013
"MI, W    ",10504.0,8891,40,8,1565,332.0,10172.0,2013
"OH, N    ",26089.0,21027,53,5,5004,483.0,25606.0,2013
"OH, S    ",21803.0,15459,58,6,6280,463.0,21340.0,2013
"TN, E    ",13297.0,7353,62,5,5877,244.0,13053.0,2013
"TN, M    ",11213.0,6522,94,4,4593,223.0,10990.0,2013
"TN, W    ",17627.0,4707,60,0,12860,157.0,17470.0,2013
     7TH ,123550.0,86227,510,36,36777,2793.0,120757.0,2013
"IL, N    ",55094.0,36303,302,1,18488,1423.0,53671.0,2013
"IL, C    ",6762.0,5256,25,1,1480,138.0,6624.0,2013
"IL, S    ",4807.0,2974,11,1,1821,82.0,4725.0,2013
"IN, N    ",13617.0,10415,34,5,3163,206.0,13411.0,2013
"IN, S    ",20229.0,13987,83,1,6158,375.0,19854.0,2013
"WI, E    ",16801.0,12102,26,5,4668,330.0,16471.0,2013
"WI, W    ",6240.0,5190,29,22,999,239.0,6001.0,2013
     8TH ,63718.0,45815,255,43,17600,1698.0,62020.0,2013
"AR, E    ",7673.0,3353,23,3,4293,144.0,7529.0,2013
"AR, W    ",4579.0,2585,35,9,1950,162.0,4417.0,2013
"IA, N    ",2189.0,2061,3,3,122,86.0,2103.0,2013
"IA, S    ",3558.0,3179,7,1,371,144.0,3414.0,2013
MN       ,14450.0,12030,73,8,2338,465.0,13985.0,2013
"MO, E    ",13768.0,9741,26,0,4000,218.0,13550.0,2013
"MO, W    ",10195.0,7379,48,5,2763,230.0,9965.0,2013
NE       ,5169.0,3556,29,10,1572,153.0,5016.0,2013
ND       ,827.0,744,6,0,77,35.0,792.0,2013
SD       ,1310.0,1187,5,4,114,61.0,1249.0,2013
     9TH ,222544.0,177219,2012,61,43230,7748.0,214796.0,2013
AK       ,593.0,476,6,0,100,62.0,531.0,2013
AZ       ,23381.0,20094,303,4,2976,867.0,22514.0,2013
"CA, N    ",19197.0,11863,203,13,7117,798.0,18399.0,2013
"CA, E    ",28809.0,23092,133,21,5563,842.0,27967.0,2013
"CA, C    ",75581.0,61127,725,2,13726,2685.0,72896.0,2013
"CA, S    ",12898.0,10393,88,0,2416,458.0,12440.0,2013
HI       ,2093.0,1549,20,1,523,104.0,1989.0,2013
ID       ,5574.0,5067,24,5,478,184.0,5390.0,2013
MT       ,1807.0,1538,15,2,252,88.0,1719.0,2013
NV       ,13927.0,11316,277,2,2332,544.0,13383.0,2013
OR       ,13610.0,11045,43,8,2514,364.0,13246.0,2013
"WA, E    ",5182.0,4115,27,1,1039,117.0,5065.0,2013
"WA, W    ",19730.0,15418,147,2,4160,624.0,19106.0,2013
GUAM     ,156.0,120,1,0,34,10.0,146.0,2013
NMI      ,6.0,6,0,0,0,1.0,5.0,2013
     10TH,61940.0,47941,272,29,13692,1707.0,60233.0,2013
CO       ,22629.0,18971,113,3,3537,740.0,21889.0,2013
KS       ,8493.0,5252,41,15,3185,183.0,8310.0,2013
NM       ,4330.0,3913,34,0,383,148.0,4182.0,2013
"OK, N    ",3123.0,2777,6,1,339,84.0,3039.0,2013
"OK, E    ",1610.0,1459,3,1,147,43.0,1567.0,2013
"OK, W    ",5903.0,4709,24,8,1161,153.0,5750.0,2013
UT       ,14606.0,9764,40,1,4801,295.0,14311.0,2013
WY       ,1246.0,1096,11,0,139,61.0,1185.0,2013
     11TH,161832.0,91101,1222,54,69450,4751.0,157081.0,2013
"AL, N    ",14685.0,7012,56,2,7615,278.0,14407.0,2013
"AL, M    ",7935.0,1775,24,4,6132,111.0,7824.0,2013
"AL, S    ",4670.0,1425,22,0,3223,81.0,4589.0,2013
"FL, N    ",3341.0,2765,46,5,525,220.0,3121.0,2013
"FL, M    ",41167.0,29390,440,16,11319,1617.0,39550.0,2013
"FL, S    ",31917.0,20693,307,9,10905,963.0,30954.0,2013
"GA, N    ",39333.0,22565,232,11,16525,1044.0,38289.0,2013
"GA, M    ",10068.0,3509,43,5,6511,268.0,9800.0,2013
"GA, S    ",8716.0,1967,52,2,6695,169.0,8547.0,2013
Chapter 9,,,Chapter 15,,,,,2013
"TX, N    ",1.0,055,"NY, E    ",4,022,,,2013
"KY, W    ",2.0,061,"NY, S    ",20,023,,,2013
"MI, E    ",1.0,062,DE       ,31,030,,,2013
"AR, E    ",1.0,080,"PA, E    ",1,032,,,2013
NE       ,2.0,087,MN       ,1,084,,,2013
"OK, W    ",1.0,10F,"MO, E    ",1,085,,,2013
"FL, M    ",1.0,11E,AK       ,11,09A,,,2013
,,,AZ       ,4,09B,,,2013
,,,"CA, N    ",1,09C,,,2013
,,,"CA, C    ",1,09E,,,2013
,,,"CA, S    ",1,09F,,,2013
,,,"WA, W    ",3,09M,,,2013
,,,GUAM     ,1,09N,,,2013
,,,CO       ,5,10A,,,2013
,,,"FL, S    ",3,11F,,,2013
"NY, S    ",8046.0,6221,442,1,1361,707,7339.0,2014
"NY, W    ",4843.0,3498,38,4,1303,182,4661.0,2014
VT       ,715.0,542,1,2,170,43,672.0,2014
    3RD  ,54120.0,36680,985,15,16424,2258,51862.0,2014
DE       ,2902.0,1705,432,3,750,578,2324.0,2014
NJ       ,27271.0,20006,314,2,6945,854,26417.0,2014
"PA, E    ",10335.0,5944,109,3,4279,364,9971.0,2014
"PA, M    ",6100.0,3937,48,2,2113,227,5873.0,2014
"PA, W    ",7491.0,5075,82,5,2329,233,7258.0,2014
VI       ,21.0,13,0,0,8,2,19.0,2014
     4TH ,71886.0,42105,553,20,29207,1929,69957.0,2014
MD       ,20323.0,14672,158,2,5491,468,19855.0,2014
"NC, E    ",7680.0,2325,109,7,5239,269,7411.0,2014
"NC, M    ",4417.0,1878,24,2,2513,132,4285.0,2014
"NC, W    ",4622.0,2604,35,0,1983,156,4466.0,2014
SC       ,7386.0,3029,35,4,4317,213,7173.0,2014
"VA, E    ",18335.0,10938,137,2,7258,468,17867.0,2014
"VA, W    ",5711.0,3718,14,2,1977,106,5605.0,2014
"WV, N    ",1426.0,1225,13,1,187,48,1378.0,2014
"WV, S    ",1986.0,1716,28,0,242,69,1917.0,2014
     5TH ,62608.0,25044,663,27,36873,2728,59880.0,2014
"LA, E    ",3563.0,1631,34,1,1897,166,3397.0,2014
"LA, M    ",1674.0,853,9,0,812,47,1627.0,2014
"LA, W    ",9762.0,1899,85,6,7772,175,9587.0,2014
"MS, N    ",4858.0,2010,26,1,2821,95,4763.0,2014
"MS, S    ",6248.0,3190,33,1,3023,171,6077.0,2014
"TX, N    ",13199.0,5491,176,12,7520,713,12486.0,2014
"TX, E    ",5087.0,2394,62,2,2629,321,4766.0,2014
"TX, S    ",9728.0,3529,153,4,6042,526,9202.0,2014
"TX, W    ",8489.0,4047,85,0,4357,514,7975.0,2014
    6TH  ,133024.0,89060,426,30,43508,2213,130811.0,2014
"KY, E    ",8475.0,6108,19,3,2345,145,8330.0,2014
"KY, W    ",8508.0,6245,35,1,2227,134,8374.0,2014
"MI, E    ",27107.0,21564,111,16,5416,454,26653.0,2014
"MI, W    ",8581.0,7095,39,3,1444,226,8355.0,2014
"OH, N    ",22048.0,18072,36,0,3940,387,21661.0,2014
"OH, S    ",19230.0,13517,23,2,5688,340,18890.0,2014
"TN, E    ",12113.0,6570,48,4,5491,160,11953.0,2014
"TN, M    ",10343.0,5837,81,1,4424,217,10126.0,2014
"TN, W    ",16619.0,4052,34,0,12533,150,16469.0,2014
     7TH ,111818.0,76066,411,31,35310,2205,109613.0,2014
"IL, N    ",51274.0,31670,217,1,19386,1051,50223.0,2014
"IL, C    ",6018.0,4880,26,1,1111,133,5885.0,2014
"IL, S    ",4215.0,2672,17,0,1526,83,4132.0,2014
"IN, N    ",11649.0,8837,23,2,2787,145,11504.0,2014
"IN, S    ",17586.0,12129,75,5,5377,339,17247.0,2014
"WI, E    ",15597.0,11264,26,8,4299,265,15332.0,2014
"WI, W    ",5479.0,4614,27,14,824,189,5290.0,2014
     8TH ,56208.0,40043,167,45,15946,1361,54847.0,2014
"AR, E    ",7251.0,3128,15,7,4101,111,7140.0,2014
"AR, W    ",3985.0,2233,24,9,1717,124,3861.0,2014
"IA, N    ",1950.0,1833,3,3,111,62,1888.0,2014
"IA, S    ",3129.0,2774,17,1,337,108,3021.0,2014
MN       ,12190.0,10315,31,9,1835,394,11796.0,2014
"MO, E    ",12195.0,8446,26,1,3721,181,12014.0,2014
"MO, W    ",8975.0,6450,35,5,2485,183,8792.0,2014
NE       ,4635.0,3153,12,9,1457,117,4518.0,2014
ND       ,701.0,626,1,1,73,34,667.0,2014
SD       ,1197.0,1085,3,0,109,47,1150.0,2014
     9TH ,176762.0,140214,1589,51,34900,5975,170787.0,2014
AK       ,456.0,378,1,1,76,44,412.0,2014
AZ       ,19898.0,17103,298,8,2489,677,19221.0,2014
"CA, N    ",14552.0,8629,220,11,5691,748,13804.0,2014
"CA, E    ",21057.0,17126,96,15,3820,579,20478.0,2014
"CA, C    ",57356.0,45710,502,3,11140,2035,55321.0,2014
"CA, S    ",10414.0,8381,55,0,1977,380,10034.0,2014
HI       ,1731.0,1216,10,0,505,64,1667.0,2014
ID       ,4742.0,4246,19,6,471,130,4612.0,2014
MT       ,1554.0,1346,11,0,197,74,1480.0,2014
NV       ,11184.0,9108,210,2,1859,427,10757.0,2014
OR       ,12305.0,10031,31,2,2241,246,12059.0,2014
"WA, E    ",4672.0,3736,14,2,920,91,4581.0,2014
"WA, W    ",16706.0,13097,122,1,3486,473,16233.0,2014
GUAM     ,131.0,103,0,0,28,7,124.0,2014
NMI      ,4.0,4,0,0,0,0,4.0,2014
     10TH,53612.0,40674,202,17,12715,1317,52295.0,2014
CO       ,17632.0,14823,73,2,2730,475,17157.0,2014
KS       ,7511.0,4429,34,7,3041,201,7310.0,2014
NM       ,3830.0,3511,35,0,284,130,3700.0,2014
"OK, N    ",2799.0,2501,3,1,294,80,2719.0,2014
"OK, E    ",1553.0,1409,8,2,134,28,1525.0,2014
"OK, W    ",5603.0,4366,22,4,1211,127,5476.0,2014
UT       ,13725.0,8785,18,0,4922,229,13496.0,2014
WY       ,959.0,850,9,1,99,47,912.0,2014
     11TH,146814.0,77905,1018,58,67828,3809,143005.0,2014
"AL, N    ",13001.0,6425,43,1,6532,205,12796.0,2014
"AL, M    ",7942.0,1579,9,1,6353,91,7851.0,2014
"AL, S    ",4305.0,1301,28,1,2975,67,4238.0,2014
"FL, N    ",3016.0,2416,47,4,549,178,2838.0,2014
"FL, M    ",36268.0,25096,400,18,10750,1408,34860.0,2014
"FL, S    ",29313.0,17048,278,7,11979,705,28608.0,2014
"GA, N    ",35362.0,19383,165,11,15803,846,34516.0,2014
"GA, M    ",9333.0,2899,35,11,6388,190,9143.0,2014
"GA, S    ",8274.0,1758,13,4,6499,119,8155.0,2014
Chapter 9,,,Chapter 15,,,,,2014
RI       ,1.0,013,"NY, E    ",6,022,,,2014
SC       ,1.0,045,"NY, S    ",21,023,,,2014
"MS, S    ",1.0,054,DE       ,12,030,,,2014
"AR, W    ",2.0,081,NJ       ,4,031,,,2014
"MO, E    ",1.0,085,"CA, C    ",1,09E,,,2014
NE       ,4.0,087,"CA, S    ",1,09F,,,2014
"CA, N    ",1.0,09C,NV       ,5,09J,,,2014
CO       ,1.0,10A,CO       ,3,10A,,,2014
,,,"FL, M    ",4,11E,,,2014
,,,"FL, S    ",1,11F,,,2014
RI,4907,4502,8,0,397,65,4842.0,2002
PR,13811,4110,135,3,9563,351,13460.0,2002
2ND,85867,67496,1887,14,16435,2857,83010.0,2002
CT,11751,9747,125,0,1879,181,11570.0,2002
"NY,N",16310,12952,75,10,3272,346,15964.0,2002
"NY,E",26218,20119,208,0,5891,337,25881.0,2002
"NY,S",16409,13033,1424,0,1918,1598,14811.0,2002
"NY,W",13353,10037,49,4,3263,304,13049.0,2002
VT,1826,1608,6,0,212,91,1735.0,2002
3RD,99649,65595,1299,6,32727,2609,97040.0,2002
DE,3789,2006,561,0,1201,649,3140.0,2002
NJ,40999,25922,349,1,14726,689,40310.0,2002
"PA,E",24887,13805,114,2,10966,318,24569.0,2002
"PA,M",12675,9636,61,0,2978,461,12214.0,2002
"PA,W",17239,14191,208,3,2837,484,16755.0,2002
VI,60,35,6,0,19,8,52.0,2002
4TH,141004,89404,941,13,50644,2953,138051.0,2002
MD,35573,23447,412,3,11711,873,34700.0,2002
"NC,E",15072,7543,62,8,7459,225,14847.0,2002
"NC,M",11822,4997,24,0,6801,247,11575.0,2002
"NC,W",9488,4926,58,0,4504,104,9384.0,2002
SC,15753,6822,91,0,8839,178,15575.0,2002
"VA,E",30092,20993,164,1,8934,399,29693.0,2002
"VA,W",12738,10856,39,1,1841,570,12168.0,2002
"WV,N",4446,4133,42,0,271,131,4315.0,2002
"WV,S",6020,5687,49,0,284,226,5794.0,2002
5TH,129580,73695,1264,89,54529,3975,125605.0,2002
"LA,E",9750,6551,61,2,3136,165,9585.0,2002
"LA,M",3692,2630,52,0,1010,68,3624.0,2002
"LA,W",13691,7365,40,21,6265,439,13252.0,2002
"MS,N",8169,5501,45,17,2606,131,8038.0,2002
"MS,S",14228,9174,82,6,4966,178,14050.0,2002
"TX,N",28084,13828,308,20,13928,1160,26924.0,2002
"TX,E",12175,6682,75,7,5411,341,11834.0,2002
"TX,S",21269,11505,427,4,9332,810,20459.0,2002
"TX,W",18522,10459,174,12,7875,683,17839.0,2002
6TH,224908,154075,1056,31,69746,3520,221388.0,2002
