District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
"WI, W    ",4421.0,3618,17,21,765,179.0,4242.0,2016
     8TH ,48642.0,33062,392,76,15108,1497.0,47145.0,2016
"AR, E    ",7220.0,3143,14,9,4054,148.0,7072.0,2016
"AR, W    ",3231.0,1765,13,8,1445,100.0,3131.0,2016
"IA, N    ",1686.0,1526,0,7,153,77.0,1609.0,2016
"IA, S    ",2611.0,2271,8,5,327,97.0,2514.0,2016
MN       ,9614.0,8052,29,11,1522,324.0,9290.0,2016
"MO, E    ",10988.0,7065,273,5,3645,408.0,10580.0,2016
"MO, W    ",7392.0,5007,30,4,2350,152.0,7240.0,2016
NE       ,4104.0,2665,16,12,1408,107.0,3997.0,2016
ND       ,701.0,595,7,7,92,44.0,657.0,2016
SD       ,1095.0,973,2,8,112,40.0,1055.0,2016
     9TH ,132347.0,98329,1326,52,32629,4752.0,127595.0,2016
AK       ,410.0,334,7,0,69,34.0,376.0,2016
AZ       ,15514.0,12705,210,3,2596,513.0,15001.0,2016
"CA, N    ",10279.0,5358,184,1,4734,557.0,9722.0,2016
"CA, E    ",15206.0,11595,62,16,3532,498.0,14708.0,2016
"CA, C    ",41399.0,30403,433,8,10555,1685.0,39714.0,2016
"CA, S    ",8229.0,6424,35,0,1770,285.0,7944.0,2016
HI       ,1419.0,943,15,0,461,51.0,1368.0,2016
ID       ,3840.0,3404,14,6,416,102.0,3738.0,2016
MT       ,1347.0,1126,13,4,204,67.0,1280.0,2016
NV       ,9017.0,6864,216,0,1931,295.0,8722.0,2016
OR       ,9131.0,7116,28,6,1980,225.0,8906.0,2016
"WA, E    ",4106.0,3113,13,4,976,77.0,4029.0,2016
"WA, W    ",12282.0,8813,93,4,3371,350.0,11932.0,2016
GUAM     ,164.0,129,2,0,33,12.0,152.0,2016
NMI      ,4.0,2,1,0,1,1.0,3.0,2016
     10TH,44779.0,32275,293,30,12180,1265.0,43514.0,2016
CO       ,12957.0,10219,81,0,2657,402.0,12555.0,2016
KS       ,6696.0,3802,105,21,2768,256.0,6440.0,2016
NM       ,3306.0,2971,35,1,299,135.0,3171.0,2016
"OK, N    ",2391.0,2118,5,2,266,56.0,2335.0,2016
"OK, E    ",1397.0,1252,2,5,137,40.0,1357.0,2016
"OK, W    ",5395.0,4197,30,1,1167,133.0,5262.0,2016
UT       ,11650.0,6838,31,0,4781,208.0,11442.0,2016
WY       ,987.0,878,4,0,105,35.0,952.0,2016
     11TH,119760.0,58421,838,57,60430,2970.0,116790.0,2016
"AL, N    ",13643.0,6597,21,3,7022,167.0,13476.0,2016
"AL, M    ",8000.0,1683,9,1,6307,65.0,7935.0,2016
"AL, S    ",4626.0,1244,20,0,3362,38.0,4588.0,2016
"FL, N    ",2538.0,2003,40,3,492,143.0,2395.0,2016
"FL, M    ",24968.0,16879,315,12,7760,1007.0,23961.0,2016
"FL, S    ",18154.0,9402,264,2,8474,612.0,17542.0,2016
"GA, N    ",32302.0,16648,115,1,15538,630.0,31672.0,2016
"GA, M    ",8446.0,2559,26,28,5833,192.0,8254.0,2016
"GA, S    ",7083.0,1406,28,7,5642,116.0,6967.0,2016
Chapter 9,,,Chapter 15,,,,,2016
"KY, W    ",1.0,061,CT       ,1,020,,,2016
"MO, W    ",1.0,086,"NY, S    ",70,023,,,2016
NE       ,3.0,087,DE       ,52,030,,,2016
"CA, N    ",1.0,09C,NJ       ,2,031,,,2016
"CA, E    ",1.0,09D,SC       ,1,045,,,2016
"OK, E    ",1.0,10E,"VA, E    ",2,046,,,2016
,,,"LA, M    ",4,051,,,2016
,,,"TX, N    ",2,055,,,2016
,,,"TX, S    ",6,057,,,2016
,,,"TX, W    ",13,058,,,2016
,,,"IL, N    ",3,070,,,2016
,,,"CA, N    ",1,09C,,,2016
,,,NV       ,6,09J,,,2016
,,,OR       ,1,09K,,,2016
,,,"WA, W    ",1,09M,,,2016
,,,"FL, M    ",2,11E,,,2016
,,,"FL, S    ",12,11F,,,2016
"NY, S    ",8023.0,5403,597,2,1966,841.0,7182.0,2017
"NY, W    ",4295.0,2879,41,4,1371,178.0,4117.0,2017
VT       ,558.0,461,0,8,89,35.0,523.0,2017
    3rd,52610.0,31315,1269,14,20002,2311.0,50299.0,2017
DE       ,3119.0,1511,683,0,915,803.0,2316.0,2017
NJ       ,27015.0,16626,351,5,10033,760.0,26255.0,2017
"PA, E    ",8846.0,4561,90,1,4194,289.0,8557.0,2017
"PA, M    ",5413.0,3336,41,1,2035,174.0,5239.0,2017
"PA, W    ",8207.0,5278,101,7,2821,281.0,7926.0,2017
VI       ,10.0,3,3,0,4,4.0,6.0,2017
    4th,64927.0,36701,488,31,27707,1555.0,63372.0,2017
MD       ,17716.0,11942,128,3,5643,349.0,17367.0,2017
"NC, E    ",6407.0,2231,96,6,4074,230.0,6177.0,2017
"NC, M    ",3964.0,1680,27,2,2255,100.0,3864.0,2017
"NC, W    ",4088.0,2173,33,4,1878,136.0,3952.0,2017
SC       ,6554.0,2587,29,5,3933,144.0,6410.0,2017
"VA, E    ",17431.0,9918,110,3,7400,382.0,17049.0,2017
"VA, W    ",5454.0,3297,21,6,2130,98.0,5356.0,2017
"WV, N    ",1314.0,1121,18,0,175,41.0,1273.0,2017
"WV, S    ",1999.0,1752,26,2,219,75.0,1924.0,2017
    5th,61095.0,25370,1262,41,34417,3249.0,57846.0,2017
"LA, E    ",3563.0,1644,32,0,1887,148.0,3415.0,2017
"LA, M    ",1283.0,665,7,1,610,28.0,1255.0,2017
"LA, W    ",8760.0,1835,77,15,6833,189.0,8571.0,2017
"MS, N    ",4990.0,2033,21,5,2931,90.0,4900.0,2017
"MS, S    ",7408.0,3767,24,2,3615,152.0,7256.0,2017
"TX, N    ",12171.0,5311,378,11,6470,907.0,11264.0,2017
"TX, E    ",5334.0,2290,95,1,2947,343.0,4991.0,2017
"TX, S    ",9496.0,3688,546,3,5257,924.0,8572.0,2017
"TX, W    ",8090.0,4137,82,3,3867,468.0,7622.0,2017
    6th,119887.0,77338,312,54,42182,1756.0,118131.0,2017
"KY, E    ",8163.0,5745,12,5,2401,102.0,8061.0,2017
"KY, W    ",7678.0,5039,12,11,2616,120.0,7558.0,2017
"MI, E    ",24428.0,18720,78,11,5618,310.0,24118.0,2017
"MI, W    ",6347.0,5024,9,5,1309,146.0,6201.0,2017
"OH, N    ",20862.0,16652,45,5,4160,358.0,20504.0,2017
"OH, S    ",17216.0,11805,18,5,5388,278.0,16938.0,2017
"TN, E    ",11973.0,6603,46,7,5317,170.0,11803.0,2017
"TN, M    ",8914.0,4268,65,2,4579,166.0,8748.0,2017
"TN, W    ",14306.0,3482,27,3,10794,106.0,14200.0,2017
    7th,91918.0,57392,275,64,34187,1648.0,90270.0,2017
"IL, N    ",42467.0,23052,144,2,19269,755.0,41712.0,2017
"IL, C    ",5298.0,4254,16,2,1026,104.0,5194.0,2017
"IL, S    ",3685.0,2474,11,4,1196,79.0,3606.0,2017
"IN, N    ",9342.0,6430,25,3,2884,113.0,9229.0,2017
"IN, S    ",13997.0,9141,42,8,4806,214.0,13783.0,2017
"WI, E    ",12634.0,8367,13,17,4237,199.0,12435.0,2017
"WI, W    ",4495.0,3674,24,28,769,184.0,4311.0,2017
    8th,48585.0,33083,219,81,15200,1214.0,47371.0,2017
"AR, E    ",7165.0,3254,16,4,3890,123.0,7042.0,2017
"AR, W    ",3374.0,1835,16,5,1518,106.0,3268.0,2017
"IA, N    ",1680.0,1509,10,15,146,87.0,1593.0,2017
"IA, S    ",2640.0,2309,5,3,323,79.0,2561.0,2017
MN       ,9766.0,7992,55,19,1700,300.0,9466.0,2017
"MO, E    ",10609.0,6917,54,2,3636,187.0,10422.0,2017
"MO, W    ",7531.0,5021,31,5,2474,135.0,7396.0,2017
NE       ,3998.0,2657,20,20,1300,116.0,3882.0,2017
ND       ,775.0,695,5,0,75,37.0,738.0,2017
SD       ,1047.0,894,7,8,138,44.0,1003.0,2017
    9th,127253.0,94983,1249,67,30944,4568.0,122685.0,2017
AK       ,467.0,370,7,4,86,35.0,432.0,2017
AZ       ,15997.0,12895,199,6,2896,498.0,15499.0,2017
"CA, N    ",9118.0,4835,174,6,4101,519.0,8599.0,2017
"CA, E    ",15401.0,11767,79,17,3537,513.0,14888.0,2017
"CA, C    ",38704.0,28657,407,2,9634,1577.0,37127.0,2017
"CA, S    ",8136.0,6474,41,2,1619,301.0,7835.0,2017
HI       ,1391.0,938,13,2,438,54.0,1337.0,2017
ID       ,3808.0,3348,22,6,432,117.0,3691.0,2017
MT       ,1316.0,1096,11,7,202,58.0,1258.0,2017
NV       ,8830.0,6758,190,0,1881,279.0,8551.0,2017
OR       ,9191.0,7068,24,7,2092,200.0,8991.0,2017
"WA, E    ",3840.0,2959,9,1,870,76.0,3764.0,2017
"WA, W    ",10922.0,7717,72,7,3126,331.0,10591.0,2017
GUAM     ,127.0,97,0,0,30,9.0,118.0,2017
NMI      ,5.0,4,1,0,0,1.0,4.0,2017
    10th,44083.0,31684,217,34,12144,1130.0,42953.0,2017
CO       ,12268.0,9528,88,2,2650,407.0,11861.0,2017
KS       ,6679.0,3731,41,25,2882,176.0,6503.0,2017
NM       ,3345.0,2989,37,2,317,113.0,3232.0,2017
"OK, N    ",2622.0,2318,5,2,297,59.0,2563.0,2017
"OK, E    ",1483.0,1328,1,0,153,30.0,1453.0,2017
"OK, W    ",5412.0,4217,16,2,1177,143.0,5269.0,2017
UT       ,11254.0,6666,22,0,4564,168.0,11086.0,2017
WY       ,1020.0,907,7,1,104,34.0,986.0,2017
    11th,116386.0,57721,767,63,57830,2711.0,113675.0,2017
"AL, N    ",13961.0,6603,35,5,7318,140.0,13821.0,2017
"AL, M    ",8161.0,1808,13,1,6339,82.0,8079.0,2017
"AL, S    ",4920.0,1393,20,0,3507,41.0,4879.0,2017
"FL, N    ",2413.0,1918,23,4,468,87.0,2326.0,2017
"FL, M    ",23895.0,16850,296,9,6740,994.0,22901.0,2017
"FL, S    ",16318.0,8658,222,2,7431,577.0,15741.0,2017
"GA, N    ",31419.0,16276,109,6,15028,517.0,30902.0,2017
"GA, M    ",8540.0,2773,37,25,5705,192.0,8348.0,2017
"GA, S    ",6759.0,1442,12,11,5294,81.0,6678.0,2017
Chapter 9,,,Chapter 15,,,,,2017
"TX, E    ",1.0,056,MA       ,1,011,,,2017
"TX, W    ",1.0,058,"NY, S    ",55,023,,,2017
"AR, E    ",1.0,080,DE       ,10,030,,,2017
NE       ,1.0,087,"TX, N    ",1,055,,,2017
"CA, E    ",1.0,09D,"TX, S    ",2,057,,,2017
"WA, E    ",1.0,09L,"MI, E    ",1,062,,,2017
"OK, E    ",1.0,10E,AZ       ,1,09B,,,2017
,,,"CA, N    ",2,09C,,,2017
,,,"CA, C    ",4,09E,,,2017
,,,NV       ,1,09J,,,2017
,,,UT       ,2,10G,,,2017
,,,WY       ,1,10H,,,2017
,,,"FL, S    ",5,11F,,,2017
"NY,E",16217,9589,394,6233,1,859,15358,2018
"NY,S",8478,5827,666,1923,62,942,7536,2018
"NY,W",4117,2843,43,1226,5,151,3966,2018
VT,555,457,4,91,3,37,518,2018
     3rd,50691,29530,1085,20048,28,2164,48527,2018
DE,2979,1412,615,941,11,786,2193,2018
NJ,26274,15844,287,10142,1,679,25595,2018
"PA,E",8603,4192,72,4337,2,308,8295,2018
"PA,M",5543,3436,33,2071,3,150,5393,2018
"PA,W",7281,4640,77,2553,11,237,7044,2018
VI,11,6,1,4,0,4,7,2018
     4th,63630,35312,416,27872,30,1480,62150,2018
MD,17255,11361,118,5770,6,352,16903,2018
"NC,E",6239,2147,77,4006,9,235,6004,2018
"NC,M",3696,1504,20,2170,2,97,3599,2018
"NC,W",4014,2041,38,1932,3,113,3901,2018
SC,6598,2597,27,3971,3,140,6458,2018
"VA,E",17275,9737,87,7449,2,341,16934,2018
"VA,W",5503,3314,15,2170,4,99,5404,2018
"WV,N",1217,1000,11,205,1,49,1168,2018
"WV,S",1833,1611,23,199,0,54,1779,2018
     5th,60569,25797,1222,33508,42,3145,57424,2018
"LA,E",3509,1504,32,1972,1,144,3365,2018
"LA,M",1521,792,7,722,0,34,1487,2018
"LA,W",8360,1699,45,6605,11,132,8228,2018
"MS,N",5196,2120,20,3052,4,82,5114,2018
"MS,S",7597,3910,25,3661,1,132,7465,2018
"TX,N",11441,5149,444,5839,9,906,10535,2018
"TX,E",5078,2379,56,2641,2,326,4752,2018
"TX,S",9694,3925,469,5293,7,878,8816,2018
"TX,W",8173,4319,124,3723,7,511,7662,2018
     6th,116191,74407,295,41451,38,1551,114640,2018
"KY,E",7561,5160,10,2383,8,94,7467,2018
"KY,W",7353,4537,21,2792,3,117,7236,2018
"MI,E",23949,18221,87,5633,8,299,23650,2018
"MI,W",5737,4479,9,1247,2,110,5627,2018
"OH,N",20193,16133,41,4017,2,267,19926,2018
"OH,S",17017,11572,16,5424,5,274,16743,2018
"TN,E",12034,6758,30,5241,5,141,11893,2018
"TN,M",8755,4214,60,4478,3,163,8592,2018
"TN,W",13592,3333,21,10236,2,86,13506,2018
     7th,87784,54577,240,32893,74,1467,86317,2018
"IL,N",39413,21421,116,17872,4,676,38737,2018
"IL,C",5157,4118,16,1022,1,115,5042,2018
"IL,S",3571,2374,15,1177,5,81,3490,2018
"IN,N",8935,6112,22,2800,1,88,8847,2018
"IN,S",14206,8979,57,5156,14,203,14003,2018
"WI,E",12126,8030,5,4075,16,172,11954,2018
"WI,W",4376,3543,9,791,33,132,4244,2018
     8th,48431,32842,144,15334,111,1130,47301,2018
AR ,10734,5208,29,5484,13,192,10542,2018
"IA,N",1791,1605,5,171,10,71,1720,2018
"IA,S",2838,2469,14,352,3,95,2743,2018
MN,9911,7930,27,1928,26,296,9615,2018
"MO,E",9873,6396,12,3461,4,134,9739,2018
"MO,W",7376,4835,25,2510,6,131,7245,2018
NE,4043,2759,26,1231,27,113,3930,2018
ND,781,689,2,81,9,42,739,2018
SD,1084,951,4,116,13,56,1028,2018
     9th,123777,93992,1183,28559,43,4352,119425,2018
AK,450,356,1,93,0,32,418,2018
AZ,16337,13156,174,3004,3,435,15902,2018
"CA,N",8657,4771,146,3737,3,487,8170,2018
"CA,E",14847,11366,71,3396,14,447,14400,2018
"CA,C",37192,28489,463,8237,3,1576,35616,2018
"CA,S",7972,6461,32,1479,0,303,7669,2018
HI,1529,1030,4,495,0,61,1468,2018
ID,3724,3300,24,394,6,94,3630,2018
MT,1302,1092,4,199,7,42,1260,2018
NV,9404,7479,161,1764,0,307,9097,2018
OR,8815,6642,27,2144,2,203,8612,2018
"WA,E",3644,2790,13,836,5,79,3565,2018
"WA,W",9750,6935,63,2752,0,283,9467,2018
GUAM,154,125,0,29,0,3,151,2018
NMI,0,0,0,0,0,0,0,2018
     10th,41902,30014,183,11650,55,1102,40800,2018
CO,11445,8882,63,2492,8,370,11075,2018
KS,6856,3724,28,3069,35,212,6644,2018
NM,3274,2891,22,361,0,83,3191,2018
"OK,N",2592,2283,10,297,2,63,2529,2018
"OK,E",1450,1300,3,146,1,32,1418,2018
"OK,W",5488,4243,8,1234,3,126,5362,2018
UT,9771,5785,28,3952,6,166,9605,2018
WY,1026,906,21,99,0,50,976,2018
     11th,116384,57704,852,57770,58,2737,113647,2018
"AL,N",13614,6318,44,7247,5,161,13453,2018
"AL,M",7931,1777,10,6144,0,45,7886,2018
"AL,S",5301,1475,13,3813,0,37,5264,2018
"FL,N",2570,1992,38,536,4,103,2467,2018
"FL,M",24312,17363,285,6661,3,941,23371,2018
"FL,S",16930,9192,263,7455,20,637,16293,2018
"GA,N",30741,15485,144,15105,7,557,30184,2018
"GA,M",8417,2741,37,5621,18,173,8244,2018
"GA,S",6568,1361,18,5188,1,83,6485,2018
"NY,E",8295,6387,241,1667,0,502,7793,2020
"NY,S",5668,4146,700,740,82,1003,4665,2020
"NY,W",2627,2095,21,511,0,109,2518,2020
VT,379,288,3,71,17,39,340,2020
     3rd,32102,21112,2003,8893,94,2895,29207,2020
DE,3249,1067,1666,430,86,1882,1367,2020
NJ,14728,10724,206,3797,1,496,14232,2020
"PA,E",5005,2953,51,1998,3,185,4820,2020
"PA,M",3763,2577,22,1162,2,119,3644,2020
"PA,W",5352,3787,58,1505,2,212,5140,2020
VI,5,4,0,1,0,1,4,2020
     4th,43661,27394,473,15775,19,1312,42349,2020
MD,11249,8418,79,2749,3,278,10971,2020
"NC,E",4110,1642,55,2410,3,172,3938,2020
"NC,M",2512,1158,23,1331,0,84,2428,2020
"NC,W",2287,1304,37,944,2,112,2175,2020
SC,4707,2174,28,2499,6,122,4585,2020
"VA,E",12713,8208,203,4302,0,401,12312,2020
"VA,W",3804,2466,19,1314,5,77,3727,2020
"WV,N",935,822,5,108,0,17,918,2020
"WV,S",1344,1202,24,118,0,49,1295,2020
     5th,42977,23372,1955,17585,65,3992,38985,2020
"LA,E",2202,1072,30,1100,0,102,2100,2020
"LA,M",882,594,18,270,0,42,840,2020
"LA,W",4558,1338,17,3194,9,95,4463,2020
"MS,N",3639,1779,30,1824,6,141,3498,2020
"MS,S",4973,3115,19,1836,3,112,4861,2020
"TX,N",8689,5063,272,3338,16,885,7804,2020
"TX,E",4366,2529,69,1766,2,305,4061,2020
"TX,S",7796,3783,1372,2612,29,1816,5980,2020
"TX,W",5872,4099,128,1645,0,494,5378,2020
     6th,81560,57675,335,23510,40,1356,80204,2020
"KY,E",5762,4173,24,1560,5,91,5671,2020
"KY,W",5669,3554,23,2089,3,100,5569,2020
"MI,E",17549,14007,53,3479,10,204,17345,2020
"MI,W",4112,3335,51,720,6,158,3954,2020
"OH,N",14718,12529,31,2153,5,244,14474,2020
"OH,S",12033,9096,42,2890,5,196,11837,2020
"TN,E",8332,5303,29,2995,5,124,8208,2020
"TN,M",5773,3284,65,2423,1,175,5598,2020
"TN,W",7612,2394,17,5201,0,64,7548,2020
     7th,59978,43094,194,16597,93,1261,58717,2020
"IL,N",25109,17597,106,7402,4,601,24508,2020
"IL,C",3664,3032,8,618,6,81,3583,2020
"IL,S",2264,1614,7,640,3,46,2218,2020
"IN,N",6833,5150,8,1672,3,73,6760,2020
"IN,S",10465,7178,28,3251,8,161,10304,2020
"WI,E",8417,5897,21,2469,30,152,8265,2020
"WI,W",3226,2626,16,545,39,147,3079,2020
     8th,35969,25887,168,9751,163,1090,34879,2020
AR ,7545,4154,30,3347,14,189,7356,2020
"IA,N",1462,1314,4,119,25,91,1371,2020
"IA,S",2342,2070,4,258,10,74,2268,2020
MN,7238,5891,30,1279,38,272,6966,2020
"MO,E",7337,5162,52,2115,8,144,7193,2020
"MO,W",5231,3480,28,1716,7,111,5120,2020
NE,3343,2494,12,802,35,121,3222,2020
ND,656,587,3,60,6,27,629,2020
SD,815,735,5,55,20,61,754,2020
     9th,93877,78181,1017,14592,87,3742,90135,2020
AK,320,272,5,43,0,29,291,2020
AZ,13515,11450,126,1935,4,339,13176,2020
"CA,N",5900,4094,175,1627,4,460,5440,2020
"CA,E",10968,9048,71,1837,12,365,10603,2020
"CA,C",27852,23814,351,3683,4,1337,26515,2020
"CA,S",6426,5707,31,686,2,269,6157,2020
HI,1566,1183,7,374,2,63,1503,2020
ID,2772,2498,24,240,10,83,2689,2020
MT,1201,1004,16,161,20,100,1101,2020
NV,8007,6998,113,895,1,255,7752,2020
OR,6636,5301,23,1291,21,167,6469,2020
"WA,E",2277,1816,11,447,3,50,2227,2020
"WA,W",6369,4937,64,1364,4,218,6151,2020
GUAM,67,58,0,9,0,7,60,2020
NMI,1,1,0,0,0,0,1,2020
     10th,31284,23894,188,7142,60,1020,30264,2020
CO,8562,6844,85,1624,9,369,8193,2020
KS,4470,2665,28,1742,35,177,4293,2020
NM,2423,2154,19,248,2,85,2338,2020
"OK,N",1990,1832,5,153,0,54,1936,2020
"OK,E",1235,1153,2,79,1,33,1202,2020
"OK,W",4259,3504,16,728,11,135,4124,2020
UT,7638,5090,20,2526,2,119,7519,2020
WY,707,652,13,42,0,48,659,2020
     11th,83817,49283,833,33648,53,2529,81288,2020
"AL,N",9616,5310,44,4259,3,143,9473,2020
"AL,M",5538,1440,18,4076,4,69,5469,2020
"AL,S",3258,1098,16,2143,1,44,3214,2020
"FL,N",1923,1652,28,241,2,73,1850,2020
"FL,M",20838,16607,294,3925,12,882,19956,2020
"FL,S",14691,9315,268,5099,9,658,14033,2020
"GA,N",18741,10758,136,7846,1,484,18257,2020
"GA,M",5372,2127,17,3212,16,102,5270,2020
"GA,S",3840,976,12,2847,5,74,3766,2020
"NY,E",16600,9611,402,6587,0,850,15750,2019
"NY,S",8446,5815,649,1916,66,924,7522,2019
"NY,W",4073,2852,35,1182,4,146,3927,2019
VT,561,445,5,106,5,44,517,2019
     3rd,48871,28803,1051,18979,38,2061,46810,2019
DE,2839,1337,611,875,16,695,2144,2019
NJ,24810,15280,256,9271,3,662,24148,2019
"PA,E",8191,4029,65,4092,5,269,7922,2019
"PA,M",5628,3459,41,2125,3,166,5462,2019
"PA,W",7401,4696,78,2616,11,267,7134,2019
VI,2,2,0,0,0,2,0,2019
     4th,63987,34756,384,28807,40,1494,62493,2019
MD,17488,11010,107,6366,5,363,17125,2019
"NC,E",6020,1954,89,3968,9,237,5783,2019
"NC,M",3800,1518,11,2264,7,92,3708,2019
"NC,W",3711,1847,21,1841,2,110,3601,2019
SC,6833,2691,20,4112,10,143,6690,2019
"VA,E",17738,10097,75,7564,2,349,17389,2019
"VA,W",5559,3209,19,2327,4,103,5456,2019
"WV,N",1101,922,6,173,0,29,1072,2019
"WV,S",1737,1508,36,192,1,68,1669,2019
     5th,60589,27354,889,32294,52,2985,57604,2019
"LA,E",3531,1427,38,2066,0,147,3384,2019
"LA,M",1540,851,7,682,0,51,1489,2019
"LA,W",7880,1745,39,6082,14,154,7726,2019
"MS,N",5314,2175,13,3121,5,84,5230,2019
"MS,S",7255,3769,19,3465,2,120,7135,2019
"TX,N",11393,5608,204,5566,15,703,10690,2019
"TX,E",5785,2774,81,2928,2,351,5434,2019
"TX,S",9704,4315,361,5023,5,802,8902,2019
"TX,W",8187,4690,127,3361,9,573,7614,2019
     6th,117295,75420,480,41350,45,1858,115437,2019
"KY,E",7678,5233,43,2398,4,128,7550,2019
"KY,W",7744,4713,20,3006,5,143,7601,2019
"MI,E",24927,18617,135,6171,4,395,24532,2019
"MI,W",5769,4493,17,1248,11,151,5618,2019
"OH,N",20255,16427,42,3781,5,271,19984,2019
"OH,S",17156,11720,108,5320,8,349,16807,2019
"TN,E",12260,6958,17,5280,5,144,12116,2019
"TN,M",8430,4102,72,4253,3,190,8240,2019
"TN,W",13076,3157,26,9893,0,87,12989,2019
     7th,88626,56808,241,31497,80,1638,86988,2019
"IL,N",40308,24269,128,15907,4,782,39526,2019
"IL,C",5103,4029,13,1056,5,125,4978,2019
"IL,S",3262,2151,7,1097,7,58,3204,2019
"IN,N",9096,6056,20,3018,2,90,9006,2019
"IN,S",14236,8799,36,5395,6,228,14008,2019
"WI,E",12219,7995,21,4188,15,180,12039,2019
"WI,W",4402,3509,16,836,41,175,4227,2019
     8th,48358,32044,209,15966,139,1212,47146,2019
AR ,10676,5078,27,5557,14,207,10469,2019
"IA,N",1846,1635,10,181,20,88,1758,2019
"IA,S",3056,2624,3,422,7,95,2961,2019
MN,9910,7655,41,2182,32,299,9611,2019
"MO,E",9633,6040,46,3542,5,156,9477,2019
"MO,W",7421,4680,30,2707,4,136,7285,2019
NE,4126,2871,42,1170,43,143,3983,2019
ND,726,638,3,84,1,25,701,2019
SD,964,823,7,121,13,63,901,2019
     9th,125215,95944,1167,28034,70,4346,120869,2019
AK,404,310,8,86,0,36,368,2019
AZ,16933,13640,169,3119,5,421,16512,2019
"CA,N",8086,4670,140,3268,8,438,7648,2019
"CA,E",15150,11577,72,3482,19,466,14684,2019
"CA,C",38148,29807,420,7920,1,1576,36572,2019
"CA,S",8048,6574,43,1430,1,293,7755,2019
HI,1704,1158,13,532,1,59,1645,2019
ID,3665,3285,15,355,10,85,3580,2019
MT,1318,1046,11,250,11,56,1262,2019
NV,10046,7983,141,1922,0,307,9739,2019
OR,8996,6724,29,2237,6,220,8776,2019
"WA,E",3340,2551,26,758,5,97,3243,2019
"WA,W",9213,6488,79,2643,3,286,8927,2019
GUAM,160,128,1,31,0,6,154,2019
NMI,4,3,0,1,0,0,4,2019
     10th,41363,29470,224,11607,62,1160,40203,2019
CO,11377,8779,73,2521,4,384,10993,2019
KS,6839,3716,55,3032,36,228,6611,2019
NM,3046,2602,27,417,0,83,2963,2019
"OK,N",2655,2341,13,291,10,75,2580,2019
"OK,E",1524,1361,3,157,3,43,1481,2019
"OK,W",5373,4111,24,1230,8,164,5209,2019
UT,9688,5804,23,3861,0,143,9545,2019
WY,861,756,6,98,1,40,821,2019
     11th,117249,59060,935,57165,89,2937,114312,2019
"AL,N",13573,6284,44,7245,0,165,13408,2019
"AL,M",8150,1771,7,6369,3,49,8101,2019
"AL,S",5086,1350,16,3718,2,43,5043,2019
"FL,N",2644,2062,28,550,4,115,2529,2019
"FL,M",26193,18829,364,6981,19,1073,25120,2019
"FL,S",17940,10150,257,7513,20,629,17311,2019
"GA,N",29304,14827,189,14279,9,646,28658,2019
"GA,M",8100,2587,16,5471,26,151,7949,2019
"GA,S",6259,1200,14,5039,6,66,6193,2019
